Symbol,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,date,close_price_change
ICICIBANK,1215.0,1231.0,1198.75,1204.5,3564512,2014-03-18,0
AXISBANK,1365.0,1383.0,1342.9,1349.1,1894702,2014-03-18,0
AXISBANK,1358.0,1398.95,1351.35,1385.55,4037831,2014-03-19,1
ICICIBANK,1211.0,1223.6,1203.0,1209.95,3434306,2014-03-19,1
HDFCBANK,740.0,743.3,735.75,738.45,1513784,2014-03-19,1
AXISBANK,1361.5,1383.4,1345.75,1357.35,2582976,2014-03-20,0
HDFCBANK,738.45,738.45,728.0,730.2,1298771,2014-03-20,0
ICICIBANK,1208.5,1219.8,1197.15,1200.75,3055879,2014-03-20,0
AXISBANK,1335.0,1411.95,1322.1,1394.25,12970884,2014-03-21,1
HDFCBANK,735.15,737.5,731.2,733.85,1881398,2014-03-21,1
ICICIBANK,1210.0,1214.0,1191.3,1199.55,3507371,2014-03-21,0
ICICIBANK,1200.0,1207.7,1195.8,1198.1,94786,2014-03-22,0
HDFCBANK,736.0,736.0,729.45,732.4,105882,2014-03-22,0
AXISBANK,1393.1,1396.0,1378.9,1389.2,346269,2014-03-22,0
HDFCBANK,734.5,752.9,734.0,750.65,2928465,2014-03-24,1
AXISBANK,1401.9,1425.0,1394.25,1410.7,3118889,2014-03-24,1
ICICIBANK,1204.0,1248.9,1204.0,1242.2,3713227,2014-03-24,1
AXISBANK,1411.4,1420.95,1396.15,1400.9,1682522,2014-03-25,0
HDFCBANK,750.0,760.55,747.75,750.15,2007773,2014-03-25,0
ICICIBANK,1238.0,1258.95,1234.0,1252.55,2935119,2014-03-25,1
ICICIBANK,1263.3,1268.7,1251.6,1256.5,2416557,2014-03-26,1
AXISBANK,1411.55,1437.6,1405.85,1430.1,2771396,2014-03-26,1
HDFCBANK,752.8,756.3,744.1,746.05,2352328,2014-03-26,0
ICICIBANK,1260.1,1276.0,1246.1,1259.0,6484380,2014-03-27,1
AXISBANK,1430.0,1468.9,1416.0,1429.95,4290428,2014-03-27,0
HDFCBANK,750.0,760.75,742.0,746.75,6138733,2014-03-27,1
AXISBANK,1434.8,1469.9,1430.05,1461.95,2091296,2014-03-28,1
HDFCBANK,749.95,754.1,735.05,744.95,3040225,2014-03-28,0
ICICIBANK,1269.0,1271.0,1248.0,1259.2,2045893,2014-03-28,1
ICICIBANK,1273.0,1273.0,1240.5,1245.05,2468845,2014-03-31,0
AXISBANK,1471.0,1475.0,1450.1,1460.5,2108678,2014-03-31,0
HDFCBANK,747.95,753.0,743.1,748.8,2065607,2014-03-31,1
HDFCBANK,751.5,753.55,732.55,738.1,2012958,2014-04-01,0
AXISBANK,1470.0,1478.9,1453.55,1468.5,2221240,2014-04-01,1
ICICIBANK,1252.3,1258.25,1218.6,1223.95,4257659,2014-04-01,0
AXISBANK,1458.0,1474.65,1437.4,1467.15,1383806,2014-04-02,0
HDFCBANK,744.95,746.0,721.9,731.9,2599688,2014-04-02,0
ICICIBANK,1230.15,1252.3,1230.15,1243.05,3906625,2014-04-02,1
ICICIBANK,1244.95,1245.7,1225.05,1233.75,4990295,2014-04-03,0
AXISBANK,1468.9,1468.9,1428.1,1434.85,1114461,2014-04-03,0
HDFCBANK,736.0,738.0,726.25,728.8,1389926,2014-04-03,0
ICICIBANK,1230.0,1244.9,1215.25,1230.45,2531095,2014-04-04,0
AXISBANK,1430.0,1450.5,1418.0,1428.15,1641960,2014-04-04,0
HDFCBANK,725.55,733.0,720.05,725.45,1855602,2014-04-04,0
ICICIBANK,1232.3,1235.65,1202.4,1209.15,3971779,2014-04-07,0
HDFCBANK,725.0,732.0,723.1,725.35,2933289,2014-04-07,0
AXISBANK,1427.9,1439.55,1410.1,1422.05,1078777,2014-04-07,0
HDFCBANK,728.05,744.9,721.75,741.85,2630096,2014-04-09,1
ICICIBANK,1223.5,1263.5,1212.0,1259.8,4572890,2014-04-09,1
AXISBANK,1428.5,1490.0,1421.15,1483.95,1672182,2014-04-09,1
ICICIBANK,1251.0,1269.85,1237.0,1247.35,3943065,2014-04-10,0
AXISBANK,1484.45,1517.6,1475.75,1503.7,2073998,2014-04-10,1
HDFCBANK,744.65,748.65,736.0,739.4,1873698,2014-04-10,0
ICICIBANK,1235.0,1241.8,1226.7,1236.05,3015615,2014-04-11,0
HDFCBANK,734.05,744.8,733.9,738.15,1301988,2014-04-11,0
AXISBANK,1485.0,1506.65,1480.0,1495.75,1082389,2014-04-11,0
ICICIBANK,1238.5,1241.35,1215.4,1219.45,2259341,2014-04-15,0
AXISBANK,1494.0,1495.35,1434.3,1445.2,938060,2014-04-15,0
HDFCBANK,734.3,738.8,718.1,723.95,2092967,2014-04-15,0
ICICIBANK,1212.6,1237.0,1212.6,1222.55,1978323,2014-04-16,1
HDFCBANK,723.2,731.8,721.1,725.95,893098,2014-04-16,1
AXISBANK,1447.0,1464.7,1427.0,1431.95,834976,2014-04-16,0
ICICIBANK,1230.1,1273.25,1227.35,1262.85,2847375,2014-04-17,1
AXISBANK,1437.0,1472.65,1437.0,1464.65,1263648,2014-04-17,1
HDFCBANK,716.25,721.3,707.3,718.7,3075582,2014-04-17,0
HDFCBANK,722.7,726.5,713.0,716.45,1746938,2014-04-21,0
ICICIBANK,1269.0,1291.9,1257.35,1282.0,3125909,2014-04-21,1
AXISBANK,1470.0,1510.0,1469.0,1503.8,1132035,2014-04-21,1
ICICIBANK,1279.55,1298.6,1270.0,1289.9,1991385,2014-04-22,1
